Ticket,Authority
"شاطرين تسوون اعلانات بس طلباتنا متأخرين ما سلمتوها شركة الشحن وغير انكم ما تردون لا واتس ولا انستا !!! 
 لازم نرفع بلاغ عليكم عشان تردون !! الكل يشتكي منهم + حتى مو حاطين السجل التجاري بالموقع وهذا مخالف للأنظمة",وزارة التجارة
"أنا أريد احد يفيدني في الاعتراض ع المخالفات الالكترونيه المتاجر لأنه عندي مخالفه ولم احد يفيدني 
 والمخالفه غير صحيحه",وزارة التجارة
"السلام عليكم 
 لو سمحتو انا برفع شكوى ع محل سنتر بوينت لاني رفعت ف طبيع بلاغ تجاري ومحد رد عليه لسى !!!",وزارة التجارة
"السلام عليكم ورحمة الله وبركاته عندي شكوى من تاريخ ??/?/????
 بخصوص سجل تجاري فرعي لايظهر في منصة ابشر اعمال ويحتاج تحديث ورقم الشكوى CA-0353411 ارجو منكم تصعيد الشكوى لاني متضرر جدا ولم اجد حل حتى بالتواصل معكم ولا اعلم الى من اوجه الشكوى لكي تحل المشكله",وزارة التجارة
للأسف عندنا بعض المحلات صاروا يستغربون إذا جيت أحاسبهم بالكاش و بعضهم يحاول يرفض,وزارة التجارة
طلبت منهم وحددوا لي التاريخ المتوقع لوصول المنتج (?? مارس ) ، والى الان ما تم شحنه تقريبًا ?? ايام ما تم شحن المنتج,وزارة التجارة
السلام عليكم واجهت مشكلة في قوى السجل مسجل بتاريخ قديم وطلبت تحديث من يومين والى الان المشكله موجوده,وزارة التجارة
أريد منك الرد علي لضروره أنا صاحبه منشاه وجاتني مخالفه ع متجر إلكتروني. وحاولت الاعتراض ع المخالفه محد تجاوب معي لأنه مخالفه غير صحيحه,وزارة التجارة
"كيف اقدم بلاغ ع مؤسسة تجاري ؟
 عندي أسمّ المؤسسة 
 والحساب البنكي فقط 
 ينفع ولا ؟",وزارة التجارة
السلام عليكم طلبت من موقعهم,وزارة التجارة
"حياك الله ، تم التحقق لديك تذكرة برقم (CAS-0354612) وجاري العمل عليها 
 نسعد بخدمتك .
 لنا 48 ساعه من اخر تذكرة ولنا ? اسابيع المشكله ما نحلت .",وزارة التجارة
"يوجد مماطله وعدم انضباطيه في اوقات التسليم وخدمة عملاء في الماديب غير جيده
 
 ربط العميل في موقع التسليم وثم الاعتذار هذا غير منطقي 
 
 وتم رفع شكوى لوزارة التجاره حيال ذالك",الهيئة العامة للنقل
الرجاء تحديث سجل رقم 5950115567 تم تجديد السجل و الى الان لم يتم التحديث,وزارة التجارة
ابي الغي بلاغ قدمته كيف,وزارة التجارة
بأمكاني فتح محل خياطة عسكرية ؟ ووش الشروط,وزارة التجارة
السلام عليكم ورحمة الله وبركاته، كيف ممكن ارفع شكوى في ناجز على المتجر؟ تحت أي خانة؟,وزارة التجارة
ردوا علي خاص وشوفوا مشكلتي لي اكثر من شهرين ماوصلت الشحنه ومافيه حل منكم !!!,الهيئة العامة للنقل
السلام عليكم كيف ارفع بلاغ على متجر رفض استرجاع مبلغ ورفض يوصل لي المنتج بسبب عدم توفره,وزارة التجارة
فلوسي لها شهر سحبتو مني ??? ريال مرتين و لحد الان مارجعتو لي شي,وزارة التجارة
كيفيه الغا بلاغ,وزارة التجارة
شركة ناقل شحنه رقم 282631788 - الرجاء تغيير العنوان : إلى جدة .. ارجوكم :(,الهيئة العامة للنقل
"السلام عليكم 
 لوسمحتو عندي مشكله مع شركة شحن",الهيئة العامة للنقل
"السلام عليكم 
 انا شريت من ماركة كوتش من الرياض وكنت مسافره ووصلت جده اليوم ثاني وحبيت استبدلها بس رفضو الا من نفس الفرع ؟؟ اقدر اشتكي عليهم !!!",وزارة التجارة
ليه 6 ايام طالب شماغ وقالو يوصلك خلال يومين الان عدت 6 ايام ولا فيه اي تجاوب شوفو شغلكم معهم,وزارة التجارة
ولا فيه اي فايده او استجابه كيف تبغونا نبلغ على اي غش وبلاغاتنا اصلا ماتأخذ بعين الاعتبار,وزارة التجارة
حسبي الله ونعم الوكيل ليش محد يرد ليش الطلب له اسبوع واقف ما تحرك حتى ابغى الغي الطلب مقدر اقسم اسواء تعامل شفته في حياتي,وزارة التجارة
"السلام عليكم ابي اقدم شكوى على مصرف الراجحي 
 حيث انني امس فزت معاهم في مسابقه تويتر وتم التجاوب معهم في الوقت المحدد واعطائهم البيانات واليوم ارسلو لي رساله نكروني وتوجد لدي اثباتات وصور المحادثه",ساما
الشحنه رقم 290674309390 ايش مشكلتها لها ? ايام من يوم استلمتوها واقفه في الدمام ماتحركت,الهيئة العامة للنقل
شريت سمبوس من شركة دلتا طلع معفن ارجعه لهم ولا شنو وذي ثاني مرة,وزارة التجارة
السلام عليكم من وين اشتكي الشركه هذي,وزارة التجارة
السلام عليكم عند المحاوله لرفع بلاغ تجاري. وتم تعبئة جميع الخانات لكن خانة تاريخ الشراء لاتعمل وتم حذف البرنامج واعادة تحميله لكن لازالت المشكله ! كيف يمكنني رفع البلاغ,وزارة التجارة
كيف ارفع شكوى بالموقع,وزارة التجارة
"S0001507426
 الشحنة وين !؟ تطلع للتوصيل وترجع للمستودع
 اتصال اكثر من ربع ساعة ع خدمة العملاء ويقولك مشغولين بخدمة عملاء اخرين
 - تواصل بالخاص ومحد يتجاوب ..!!! وش الحل معهم",الهيئة العامة للنقل
"أنا ودي اعرف هل بتوصل طلبيني والا بتجلس عند مناديبكم كل يوم مع واحد …!
 لانه مو منطقي طلبي واصل جدة بتاريخ 27-03-2024 
 وإنآ إلى اليوم ما استلم طلبي ..!!
 
 والغريب انه الطلبيه تطلع مع المندوب بس ما يرضى يوصلها لي ..!؟",الهيئة العامة للنقل
عطيكم العافيه عندي طلبيه مختار موقع الاستلام التميمي حي القصور، ووقت الاستلام بلغوني بانه تم الغاء العقد مع ارامكس من قبل اكثر من اسبوعين والان الشحنه في الخالديه وهذا الشي انا ما اخترته وابغى الشحنه تجيني توصيل مابغى استلم من فرعكم في الخالديه لسوء اسلوب موظفينكم,الهيئة العامة للنقل
طلبت من محل اثاث يفصلون لي كنب ودفعت نص السعر ووعدوني وكتبو بالفاتوره تاريخ التسليم المحدد والان اشوف مماطله بالتسليم قبل العيد ورطوني !!مع انهم كاتبين بالفاتوره ماقدر استرد المبلغ بما انهم بدو بالتصنيع ايش الجزاء عليهم وايش اتعوض قرب العيد وانا مااستلمته؟,وزارة التجارة
"السلام عليكم 
 
 هل وكيل ابل لو اطلب منه فحص الجهاز له الحق بطلب مبلغ للفحص ؟ علمًا بان الجهاز جديد ماله الا ? شهور وشريته من جرير",وزارة التجارة
لي شهر كامل الحق هوم سنتر الاونلاين على منتج خطأ ارسلوه لي و رجعته للمندوب و فلوسي ما رجعوها لي و رفعت لكم بلاغات و تحطون لها الغاء كيف اخذ حقي و استرجع فلوسي ؟!!! وين اروح اشتكي ؟!,وزارة التجارة
حاولت اقدم شكوى عن طريق الحساب تم تحويلي على التطبيق وبعد تحميل التطيبق وجدت ان تصنيف الشكوى غير مدرج في الخيارات . الرجاء افادتي مافي طريقه تقديم بلاغ عن شركة شحن وشكراً,الهيئة العامة للنقل
وفي حال طلب مبلغ غير مذكور بالفواتير من قبل عامل توصيل لا يعمل لدى الشركة ؟ وارقام الشركة جميعها مفصوله عن الخدمة او غير صحيحة . من المسؤول عن استقبال الشكوى ؟,وزارة التجارة
كيف اطلع السجل التجاري لمتجر نمشي طلبيتي ماتمت وانا دافعه كامل المبلغ وتم خصم المبلغ بنجاح من البنك .. يعني لاطلبيه تمت ومبلغ مسحوب وخدمة العملاء سيئه ابي السجل التجاري عشان اقدم شكوى,وزارة التجارة
رد المنشأه علما بان الطلب تم رفعه من الخميس ولامستجيب والان يتم اخبار بعد يومين او ثلاثه !!!! الرجاء حل المشكله باسرع وقت,وزارة التجارة
"مرحبا 
 عندي استفسار :
 طلبت طلبيه من متجر منذ شهر ولم يتواصل معي المتجر وحاولت التواصل معهم واتس اب وايميل ولم يتم التجاوب من احد او حتى قراءة رسائلي 
 وتم دفع الدفعه الاولى لتابي ومتبقي الدفعات تايي رفضو الشكوى يقولون نحن هدفنا الدفع فقط وناخذ استحقاقنا منك .
 ارجو افادتي وين اشتكي",وزارة التجارة
كم المدة الزمنية المحددة للانتهاء من الخدمة والتحقق من البيانات,وزارة التجارة
"حتى الان لم يتم تحديث السجل
  1010973870",وزارة التجارة
كيف ارفع بلاغ نصب وحتيال تم التواصل معي على اساسا وزارة التجاره,وزارة التجارة
لدينا طلبية بمبلغ ??? وعند تطبيق عرض يورباي تم الخصم بنجاح ، لكن عند اتمام الشراء لم يتطبق العرض ، اليوم اخر يوم للعرض ،,وزارة التجارة
وصلت لي العطور من شركة,وزارة التجارة
طالب من ?? مارس وفي نفس الوقت الى طلبت فيه كاتبين مدة التوصيل من يوم الى سبع ايام ولا حد الان مافيه اي رد من قبل بست كلين ارسلت لهم في عدة مواقع ولا فيه اي رد لازم ياوزارة التجارة تعقبون هذي الشركات الجديده والى تلعب على العالم,وزارة التجارة
ارمكس رقمهم مفصول ولا نقدر نتواصل مع خدمة العملاء .,الهيئة العامة للنقل
"رفعت بلاغ لوزارة التجاره واتصل موظف من الوزاره طلبني احمل تطبيق وزارة التجاره عشان ارفع البلاغ ويحل مشكلتي ودخلت بالنفاذ الوطني حقي وسحب كل رصيدي 
 طيب اذا اللي كلمني هكر ايش عرف الهكر ب البلاغ اللي انا قدمته عشان يتصل ويقول معاك وزارة التجاره؟؟؟",وزارة التجارة
موقعكم معلق امس رافعه بلاغ واليوم ارفع مو راضي على سنتربوينت مارجعوا فلوسي ??? ريال اعطوني قسيمه خطأ وتقفل البلاغ ترا بزعجكم لما ترجعون فلوسي,وزارة التجارة
برفع شكوى على زاجل وين ارفع ؟,الهيئة العامة للنقل
السلام عليكم انا غير سعودية وعندي حساب تيكتوك ولان متابعيني كثير ارسلولي طلب تعاون يعني حملات اعلانية والربح حسب مشاهدات الفيديو الي راح اسوي فيه اعلان السوال هل هذا مسموح لغير السعودين ام لا ؟,وزارة التجارة
ياليت تشوفون حل محولين لهم من ?? ميلادي الان م تفعلت باقه,وزارة التجارة
تابعوا حسابات عساف وقفلوا متجره اكثر من عميل انضحك عليه يسحبون الفلوس ولايرسلوا طلبات والا يلغي طلبه ولاتسترجع الفلوس نصب واضح,وزارة التجارة
كذابين انتوا قلتوا سحب مائة فائز و لا سحبتوا مو قدها لا تسووا مسابقات الله لا يبارك فيكم,وزارة التجارة
الطلب كان من تطبيقكم ياليت تحلون هالمشكلة اللي تخلي الواحد يكرهه انه يطلب,وزارة التجارة
"السلام عليكم 
 اذا المطعم اعطاني فاتورة بطلبي بقيمته الاصلية ، وسحب مني اكثر من القيمة كرسوم توصيل الطلب الى السيارة بدون ذكرها بالفاتورة او تنبيه العميل عليه .. كيف نشتكي",وزارة التجارة
"حسبي الله ونعم الوكيل طلبيتي بتكمل اسبوع عندهم وهم لا يوصلوها ولا شيء والله لو يجي شيء مكسور وقتها يا ويلكم لاشتكيكم في وزارة التجارة لو ما وصلتوها بدري 
 خدمة عملاء فاشلين و شركة سيئة",وزارة التجارة
سلام عليكم زوجتي طلبت طلبيه قبل شهر من وحده في الانستقرام و الى الان ماوصلت و كل ماتكلمها تقول بكرا و بعده و الان لها 4 ايام ماترد عندي الحواله و رقم وثيقه عمل الحر من وين ارفع بلاغ ضروري الردد,وزارة التجارة
الله يعوضكم خير ما ندري نلقاها من بعض المتاجر الفاشله ولا المناديب وبعضهم يجيب لك نص الطلبيات ويترك نصها,وزارة التجارة
تم الطلب من متجر الكتروني عبر منصة سلة على ان يتم توصيل المنتج خلال ? ايام. انتهت ال? ايام ولم يتم شحن المنتج وطلبت الغاء الطلب ورفضوا.وبعدها صار المتجر مايرد على الرسايل.تواصلت مع عملاء اخرين وكلهم نفس المشكلة ومن وصله الطلب كان مغاير تماما لما هو معروض,وزارة التجارة
"معقول اني فقط أحجز رحله عن طريق تجربة ويتم سحب مني المبلغ واجبار الراكب والسائق على تحمل المشوار؟وفق ذلك مافيه خدمة عملاء ويسحب منك المبلغ ويجبر السائق على اكمال الرحله
 والغريب ان البنك يسمح لتطبيق بسحب المبلغ",الهيئة العامة للنقل
كيف اقدم شكوى على مشهور يعلن اعلانات خاطئه يكذب فيها,وزارة التجارة
عندي طلب تأخر لمدة شهرين ماوصلني من متجر إلكتروني,وزارة التجارة
"تم نقل المنشاه 
 ولكن الموظفين لم يتم نقلهم الى الان 
 اكثر من شهرين 
 لم يتم نقلهم مع العلم بانهم موجودين 
 في ابشر اعمال 
 الموظفين انتهت رخص العمل والاقامات
 نبي حل لهذي المشكله وشكر 
 
 علما أنه تم التحديث في وزارة التجاره",وزارة التجارة
"شركة (( أي مكان )) لا تلتزم بالتعليمات
 
 لأنها تأخر توصيل الشحنه أو الطلبيات إلى المستفيد ..!!",وزارة التجارة
"مناديبكم يستهبلون والله 
 
 واقف قدامي ولا يقول انا. جيني ومشى وحط علي ? وامس طالب اقوله تعال ذا المكان وكنسل وحط علي ? وش ذا التطبيق الخايس",الهيئة العامة للنقل
"لدي شكوى رقم 51353 بسبب عدم تشخيص الملاحظة من قبل الموظف اثناء الصيانة مع العلم تم ذكرها، وحتى الان لم يتم حل المشكلة ولم يتم التواصل من قبل موظفي الشكاوي 
 امل الافادة ؟",وزارة التجارة
تم رفع بلاغ تجاري سابق وتم رفع بلاغ مساء امس وتم اغلاقة ولم يتم حل المشكلة,وزارة التجارة
"السلام عليكم انتم ايش وضعكم طلبت منكم عطور 
 ودفعت فلوسها ولا جاني شي والله لقدم فيكم شكوا لوزارة التجارة انتم خذتم فلوسي ولا جتني العطور",وزارة التجارة
طلبت من تطبيق,وزارة التجارة
احاول ابلغ عن طريق التطبيق رافض يقبل البلاغ على متجر موثوق رغم ان البيانات كلها صحيحه,وزارة التجارة
"وبعدين معاكم ومع الشحنات اللي ما تدرون وينها ؟ 
 
 إلى متى ؟",الهيئة العامة للنقل
نحتاج مساعدة في متجر يعرض بضاعة غير الي يوصلها,وزارة التجارة
"صباح الخير
 ايها السادة عطور",وزارة التجارة
من الصبح ونا اتصل ولا احد يجيب وفالخاص مافيه حل مشاكل للعملاء تقولون اتصلو على الرقم والرقم ماحد يجيب مين بيحل مشكلتنا يالتجارة,وزارة التجارة
عندي شحنة برقم 50047261880 وتقولون التوصيل من 2-4 وتعدينا هالايام ولسى الشحنة ماوصلت ايش بتوصلون له ارجو منكم النظر في الامر ولا بقدم شكوى,الهيئة العامة للنقل
، اشتريت خلاط ما يقارب الشهر الي طاف، رفض الموظف يجربة لي بحجة انه يحتاج الخلاط انه يشحن. وصارت مشادة بالكلام وكان وقح بشكل كبير. وعلمته اني موظف بنيوم ومكان بعيد جداً وماعندي امكانية بخوض صراعات في الاسترجاع وغيره. واخذته ولمن جربته الجهاز خربان,وزارة التجارة
ابغى اقدم شكوى طلبيتي لها ثلاث اسابيع عندهم ولا يبغون يوصلونها ! 6031924751259,وزارة التجارة
"السلام عليكم 
 ركبت مصعد في منزلي الخاص قبل ثمانية أشهر وخلال هذه الفتره تعطل مرتين أثناء وجودي داخل المصعد 
 هل استطيع رفع شكوى على الشركة وإزالة المصعد واسترد المبلغ المدفوع لهم",وزارة التجارة
"هذي رسالته 
 لتأكيد الطلب اتبع الخطوات التالية: أضغط على الرابط يدخلك الموقع",وزارة التجارة
سوف يتم رفع بلاغ للجهة المختصة لي اسبوعين كل يوم تعطوني تاريخ مختلف لاستلام الشحنة,الهيئة العامة للنقل
"طلبية من ?? مارس الى اليوم ? ابريل اكثر من ? أيام ماوصلت مو معقول الشي وكاتبين في موقعكم انه التوصيل خلال يومين عمل هذا انا متضرر من ذا الشي واتمنى انكم تشوفون حل 50047472882
 
 ومحد يرد ولحد عارف يوصلكم",وزارة التجارة
صحيح .. حتى انا اعاني من نفس المشكلة طلبت لا الطلب وصل وهم رجعوا المبلغ,وزارة التجارة
"أنا تعرضت لغش تجاري وحاولت ابلغ عن طريقهم 
 
 لكن اقسم بالله اني اكتشفت ان وجودكم مثل عدمكم",وزارة التجارة
هل كل الفئات ولا فقط الفل اوبشن,وزارة التجارة
السلام عليكم ،، عند رفع بلاغ تجاري لا تفتح معي الأيقونات بالصوره المرفقه المحدده باللون الاحمر المخصصه بتواريخ وتم التجربه من اكثر من جهاز ونفس المشكله,وزارة التجارة
تواصلت مع المتجر عن طريق الهاتف اكثر من مره بدون رد ولا عن طريق اكس,وزارة التجارة
يارجال ولا ماتحصل فايده لامن هنا ولا منا تتصل عليهم يقولون لك انتظر لين توصلك لاتتعب نفسك معهم تحسب عليهم والله بياخذ حقك منهم هي كذا الحسابات تلعب في الناس,وزارة التجارة
طلبت من موقع وتأخروا بتوصيل الطلب وماطلوا معاي وبالاخير الغوا الطلب .. الطلب كان مدفوع مسبقًا ..حاليًا أنا أطالبهم بإعادة المبلغ لحسابي البنكي مب لحسابي بموقعهم لأني ما برجع اطلب منهم مره ثانية وعلى اي اساس يحتكرون فلوسي بموقعهم ؟يحق لي اقدم شكوى عليهم إذا رفضوا ؟,وزارة التجارة
"قدمت بداغ عن طريق بلاغ تجاري 
 
 والى الان ماصار معي شي",وزارة التجارة
عندي شكوى طلبت منتج من اون لاين وتاخر في التوصيل واستهدينا بالله وطلبنا اعاده جدوله وحين وصل مكسور العمال تركوه ومشيو ونتصل ع الشركة نحاول احد يعبرنا يغيرو البضاعه او يردو فلوسنا وللاسف هنكمل شهر واحنا ع هذه الحاله ارجو المساعد,وزارة التجارة
"ياوزارة التجارة انا سويت بلاغ ضد ايكيا بعدم التزامهم بتسليمي الاثاث المشترى منهم ف التاريخ المحدد والموظف حق وزارة التجاره اغلق البلاغ نظراً لعدم الالتزام المتكرر من قبل الشركة باي حق يغلق البلاغ 
 انا سويت اعتراض على اغلاق البلاغ واطالب بحقي النظامي ضد الشركة",وزارة التجارة
أبي السجل التجاري الصحيح للمنشأة زامل الصناعية ، الزامل للمكيفات ! وكل ما ابحث تطلع اكثر من منشأة,وزارة التجارة
"سلام عليكم 
 انا تعملت مع متجر مو موثق في منصة اعمال وتم تحولي مبلغ عبر حوله ولم استلام الطلب ولا يوجد رد منهم اش الإجراء الان",وزارة التجارة
"شكوى بخصوص خلل في الدفع تم خصم مبلغ المنتج من حسابي الخاص ولم يتم تسجيل الطلب ولم يتم تسجيل فاتوره
 ارجو الرد .",وزارة التجارة
السلام عليكم صباح الخير ارغب في تقديم شكوى (شركة دويتشه الخليج للتمويل),وزارة التجارة
لو سمحت رحت مطعم ولاعطوني فاتوره,وزارة التجارة
لو سمحت توي مجدد السجل والبنك يقول لسى ماتحدث لان حسابي تجمد والحين سددت كم ياخذ وقت؟,وزارة التجارة
عندي مشكله بتجديد الرخصة وتجيني الملاحظه ذي علما ان الرخصه متبقي على انتهائها 5 ايام ولي اكثر من اسبوعين وانا احاول التجديد,وزارة التجارة
"السلام عليكم , تم طلب من",وزارة التجارة
السلام عليكم ، اريد تقديم بلاغ علي ابلكيشن مرسول هل اقدم في بلاغ تجاري او هناك جهه اخري اسجل بلاغي لديهم,الهيئة العامة للنقل
السلام عليكم ورحمة الله وبركاته لدي مشكلة ولم يتم حلها من الاربعاء الماضي حتى اليوم لدي سجل تجاري لايظهر في منصة ابشر اعمال وعند التواصل يتم الرد في الاتصال الاول يوم الاربعاء الماضي الموظف قال. لي ? ايام عمل ولم تحل المشكله اليوم,وزارة التجارة
والله العظيم اني طلبت شحنهم منهم والمندوب حقهم جاء صور باب العماره من تحت وكتب تم التوصيل وهو م وصل الطلبيه ويوم اشتكي لطعوني وبعدين ارسلو لي واحد يتكلم ويقول مشكلتك م اشتكيت بعد اول يوم من حط تم التوصيل وحطو الغلط علي رفعت عليهم شكوه ف وزارة التجاره ورفضوها,الهيئة العامة للنقل
"ماهو معقولة الخدمة سيئة جداً
 
 هذا ثاني مندوب يتواصل معي بخصوص العنوان واذا ارسلته له يقول هذا ماهو تابع لي ..
 
 وش الاستهتار هذا فينا
 
 شوفوا لنا حل مع شركة الشحن",الهيئة العامة للنقل
كيف اقدم شكوى على تقاعس وزارة التجارة وعدم جديتها في متابعة البلاغات,وزارة التجارة
"@MoTLS19955
  
 السلام عليكم ورحمة وبركاته 
 لدي شكوى ضد شركة شحن 
 
 @aymakanSa
  
 لديهم شحنة لي لم تصل وتواصلت معهم بكل الطرق لكن لاحياة لمن تنادي وعندما ادخل الموقع اجدهم كاتبين انني أجل الاستلام وهم يكذبون الرجاء حل المشكله معهم",الهيئة العامة للنقل
"@Aramex_KSA
  
 @Aramex
  
 @ShopandShip
  يا كذابين لا يوجد اي تحديث بجميع شحناتي التي رفعت فيها طلب و اتواصل معاكم على الهاتف الآن و لا يتم الرد ! الى متو الاستهتار باللعملاء و الى متى هيئة النقل لم تتخذ إجراء صارم مع شركات الشحن 
 @MoTLS19955
  
 @SaudiTransport",الهيئة العامة للنقل
"معالي : 
 @SalehAlJasser
  
 سعادة : 
 @AhmedSAlhassan
  
 السادة : 
 @SaudiTransport
  
 
 هذا طريق رئيسي يربط طريق الهجرة بمحافظة #وادي_الفرع ، يعاني من تشققات ، وتكسير ، وحفر ، وضعف في وسائل السلامة ، على الرغم من مرور مئات المركبات معه يومياً من بينها مركبات الخدمات ، ويحتاج وقفه صارمة منكم",الهيئة العامة للنقل
"@MoTLS19955
  
 
 @GFS_Express
  
 
 @GFS_Care
  
 شحنتي عندهم لها اسبوع يظهر لي تعذر التسليم وهم ماتواصلو معي ولا شي ، غلطت برقم جوالي وعدلته قبل وصلوها للرياض لكن للحين محد تواصل معي",الهيئة العامة للنقل
ظاهر لي في الموقع تم التسليم والشحنه ماوصلتني؟؟!!,الهيئة العامة للنقل
"@MoTLS19955
  
 @SPL_CARE
  اليوم فيه شحنة طالعه للتوصيل و ماوصلها المندوب كل اليوم انتظره بالموقع و اتصل عليه ومافيه اي تجاوب و انتهى داومه حاليا !! هذا غير الشحنة الثانيه المتاخره ، خدمتهم سيئة جدا",الهيئة العامة للنقل
"@MoTLS19955
  السلام عليكم فيه شركة توصيل اسمها بوسطه شحنتي معهم لها اسبوع كلمني المندوب مره بعدها قفل ولا عاد اتصل وكل يوم يقولون بيوصولنها ولا احد يتصل علي",الهيئة العامة للنقل
"@MoTLS19955
  
 @Aramex
  السلام عليكم عندي شكوى على شركة ارامكس شحنتي لها اسبوع عندهم ولا وصلوها لي ولا كلموني",الهيئة العامة للنقل
"تساقط صخور في طريق شرما تبوك في طلعة روى وقطع الطريق من اليوم السابع من رمضان وحتى الان لمدة اسبوع هل يستغرق ازالة هذه الصخور اكثر من 10 ساعات 
 
 @SalehAlJasser
  
 @SaudiTransport",الهيئة العامة للنقل
"هل من الممكن من وزارة التقل ان تضع قوانين صارمة على استهتار الناقل ارامكس؟ قطاع السعودية اسوء قطاع لخدمة العملاء، اين حماية حقوق العميل لا يوجد رد لخدمة العملاء و قيمة الإشتراكات و الشحن مكلفة و ?? شحنة ضائعة 
 @ShopandShip
  
 @Aramex_KSA
  
 @Aramex
  
 @SaudiTransport
  
 @MoTLS19955",الهيئة العامة للنقل
"فيديو تحويل ايقونة الحذف الى محادثة موظف!
 وصورة من رد التطبيق على الطلب!
 ادور في حلقة!",الهيئة العامة للنقل
"جولات رقابية مكثفة على شركات البريد ونقل الطرود؛ لضمان كفاءة الخدمات المقدمة خلال موسم رمضان وعيد الفطر المبارك.
 
 #قرب_العيد
 #الهيئة_العامة_للنقل_TGA",الهيئة العامة للنقل
عندنا في محافظه الحناكيه يتجمعون عند جامع هيا العساف ويرسل لك على الواتس اب تعال استلم طلبيتك مايوصلون لموقع الاستلام اذا ما استلمتها ترجع الطلبيه ايش الحل؟تعبنا معهم,الهيئة العامة للنقل
"@MoTLS19955
  ارغب بتصعيد شكوى على كابتن اجني في بولت كيف الاليه ؟",الهيئة العامة للنقل
"@MoTLS19955
  السلام عليكم
 كيف نشتكي على شركات التوصيل اللي ماتتعامل بالعنوان الوطني ومناديبها يوحلوا طرودنا لعناوين بعيدة ونجلس نطارد فيها من مكان لمكان",الهيئة العامة للنقل
رفعت شكوى ع شركة جاهز ورديتوا علي انكم تواصلتوا معهم وبيرجعون المبلغ خلال 15 يوم عمل راح اكثر من 27 يوم عمل ولا رجع المبلغ ولا تواصلوا معي جاهز,الهيئة العامة للنقل
"@MoTLS19955
  شحنتي لها ? أيام ف نفس مدينتي وكل ما اتواصل معاهم وأرفع شكوى الكل يرد نفس الرد انها في مرحلة انتقال ولا يوجد تحديث أتمنى تشوفون حل للمهزلة الي تتكرر كل سنة بدون تجاوب",الهيئة العامة للنقل
"ماعلاقه #ايقاف_الخدمات بتأجير سياره او حتى منع السفر وايقاف الحسابات البنكيه ماهو الرابط بينهم حتى امنع حق من حقوقي 
 @eMoroor",الهيئة العامة للنقل
"هل من المعقول أن شحنة لي مع فيدكس من شهرين ماعليها أي تحديث مع أن لي فوق العشرين مكالمة معهم عشان يفيدوني؟ وهل من المعقول أن شركة الشحن ماتزود بالبيان الجمركي؟ 
 
 
 @Saudi_TGA
 
 
 @TGA_CARE
  
 
 
 @SaudiTransport
  
 
 @MoTLS19955",الهيئة العامة للنقل
"@MoTLS19955
  عندى بلاغ ضد معرض سيارات ايجار فى جازان ومحتاج مساعده لو سمحتم",الهيئة العامة للنقل
"@MoTLS19955
  
 
 @TGA_CARE
  
 
 @SaudiTransport
  
 
 @Aramex_KSA
  
 شركة أرمكس مماطلة واستهتار هذي اللحظة جاني إشعار خرج المندوب بعدها بدقيقة أشعار ثاني تمت محاولة التوصيل ومن يوم السب للان يقولوا المندوب قريب ولاخدمة عملاء وبتويتر يكرروا الكلام لدي بلاغ ف الهيئة نبغا حل",الهيئة العامة للنقل
"للاسف حصلت معايا مرتين خلال اسبوع وعند الدخول للتتبع تظهر هذه الرسالة
 
 آخر تحديث لهذه الشحنة هو: تعذر الاتصال بالعميل - مطلوب معلومات اتصال إضافية من قبل العميل 
 الذي تم في 3/17/2024 12:44:00 AM من قبل مكاتب أرامكس في المملكة العربية السعودية
 
 قمت الاستهتار عن اي اتصال تتحدثو",الهيئة العامة للنقل
السلام عليكم ورحمة الله وبركاته ابي اعرف وش الشركات اللي مشمولة بالدعم الحكومي لتوصيل الطلبات,الهيئة العامة للنقل
عندي سؤال واحتاج على اجابه عليه لماذا اصحاب مكاتب تاجير السيارات يفرضون على المستاجر كيلوهات محدده بينما راعي السياره يستلم تقريبا من 100 الى 150 يوميا ومع هذا يحدد لك الكيلوهات ويحاسبك على كل كيلو زياده من الكيلو المحدد من عندك ابغى اجابه على هذا السؤال لو سمحت,الهيئة العامة للنقل
"مرحبا .. أود بتقديم شكوى على شركة 
 @Aramex_KSA
  .. طلبت ارسال شحنه وتم سحب المبلغ من التطبيق لكن لم تصدر بوليصه الشحن ولم يتم التواصل معي مع العلم الموضوع أكثر من عشر ايام و راسلتهم عن طريق منصه اكس لكن لا تجاوب يذكر",الهيئة العامة للنقل
"@sls_express
  السلام عليكم أنا لدي شحنه من شهر فبراير مو راضيه توصل لي من شركه الدو 
 والمندوب كل يوم يرسل ارسلي الللوكيشن ولا يوصل الطلبيه 676498675 مع العلم لم تستجيب الشركه للاتصالات أرجو الرد قبل ارفع بلاغ لوزاره النقل لايوجد اشخاص في شركه للتواصل معهم والمندوب يطلب مبلغ توصي",الهيئة العامة للنقل
"@smsacare
  
 ياخي انتو صاحين و الا مهابيل شحنتي الله اكبر عليكم طالبه توصيلها للطايف 
 
 جت من الرياض للطايف و رجعتوها مباشره لجده و رفعت شكوى ترجع للطايف و شحنتوها لخميس مشيط انتو صاحين !!!
 
 
 @mcgovsa_care
  
 
 @SaudiTransport",الهيئة العامة للنقل
ابي اسجل بمنصه وصل كيف الطريقه انا كابتن بوصليني,الهيئة العامة للنقل
